"統計名：","通信利用動向調査 世帯全体編"
"表番号："
"表題：","Ｆ：世帯年収 世帯年収 平成18年以降"
"実施年月：","-","-"

"***","数字が得られないもの"
"******","******"
"**********","**********"
"-","該当数がない場合"

"","","","","","","/世帯年収_2 コード","100","120","130","140","150","160","170","190","200","210"
"表章項目 コード","表章項目","時間軸(年次) コード","時間軸(年次)","世帯年収_1 コード","世帯年収_1","/世帯年収_2","合計","200～400万円未満","200万円未満","400～600万円未満","600～800万円未満","800～1000万円未満","1000～1500万円未満","1500～2000万円未満","2000万円以上","不明"
"00300","集計世帯数【世帯】","2015000000","2015年","150","600～800万円未満","","2,193","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2015000000","2015年","160","800～1,000万円未満","","1,211","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2015000000","2015年","170","1,000～1,500万円未満","","884","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2015000000","2015年","190","1,500～2,000万円未満","","200","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2015000000","2015年","200","2,000万円以上","","100","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","100","合計","","16,529","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","120","200万円未満","","2,537","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","130","200～400万円未満","","4,911","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","140","400～600万円未満","","3,308","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","150","600～800万円未満","","2,391","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","160","800～1,000万円未満","","1,302","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","170","1,000～1,500万円未満","","914","***","***","***","***","***","***","***","***","***"
